Student_ID,Attendance,Study_Hours,Assignment_Submission,Previous_Marks,Projects_Completed,Communication_Skills,Aptitude_Score,Internet_Access,Family_Support,Sleep_Hours,Outcome
56,96,3.2,No,35,3,6,57,Yes,No,8.4,Fail
57,56,4.8,Yes,60,5,8,45,Yes,No,6.3,Fail
58,93,4.6,Yes,48,4,7,76,Yes,Yes,8.4,Fail
59,57,5.5,Yes,72,0,6,99,Yes,Yes,4.5,Fail
60,96,2.8,No,71,0,6,87,No,No,8.9,Pass
61,84,5.1,No,45,4,4,52,Yes,Yes,6.2,Fail
62,63,7.9,Yes,70,2,8,67,Yes,No,4.2,Pass
63,66,4.4,Yes,47,5,4,44,Yes,Yes,4.2,Fail
64,85,7.3,Yes,77,1,5,52,Yes,Yes,7.7,Pass
65,99,4.0,Yes,37,3,4,56,Yes,No,7.3,Fail
66,89,3.5,Yes,67,1,10,89,No,Yes,8.0,Pass
67,53,5.5,Yes,40,4,4,79,Yes,Yes,4.5,Fail
68,51,5.7,No,84,0,10,84,Yes,Yes,4.2,Fail
69,55,7.0,Yes,90,0,7,71,Yes,Yes,6.5,Pass
70,91,2.6,Yes,44,3,9,68,Yes,Yes,5.9,Fail
71,53,4.5,Yes,39,0,6,90,Yes,Yes,6.3,Fail
72,78,5.0,No,57,0,10,97,Yes,Yes,9.0,Pass
73,67,6.4,No,44,3,8,42,No,No,8.9,Fail
74,75,1.3,Yes,78,5,4,95,No,Yes,8.7,Pass
75,93,8.0,Yes,36,5,10,79,Yes,Yes,7.9,Fail
76,83,4.3,Yes,47,3,8,73,Yes,Yes,5.8,Pass
77,59,3.0,Yes,74,4,9,79,Yes,No,6.1,Pass
78,85,7.2,Yes,36,0,9,66,Yes,No,6.7,Pass
79,63,6.2,Yes,54,0,4,52,Yes,Yes,8.2,Pass
80,80,7.7,Yes,35,4,5,84,Yes,Yes,4.3,Pass
81,97,3.3,Yes,71,5,4,72,Yes,Yes,6.1,Pass
82,64,4.9,Yes,43,2,7,45,Yes,Yes,4.4,Fail
83,57,5.0,Yes,51,2,10,63,Yes,No,6.6,Fail
84,63,7.9,Yes,43,2,6,58,Yes,Yes,8.5,Fail
85,72,1.5,Yes,45,5,5,55,Yes,No,7.9,Fail
86,89,3.1,Yes,49,5,4,79,Yes,No,5.1,Fail
87,70,2.3,Yes,58,4,8,67,Yes,Yes,8.9,Pass
88,65,2.9,Yes,72,0,5,72,Yes,Yes,7.3,Fail
89,94,4.4,Yes,89,4,10,98,Yes,Yes,4.1,Pass
90,67,3.6,Yes,69,4,5,98,Yes,Yes,5.3,Pass
91,96,3.8,Yes,64,5,10,87,Yes,No,5.3,Pass
92,73,6.9,Yes,65,2,4,80,Yes,Yes,4.3,Pass
93,75,7.5,No,83,1,10,52,Yes,Yes,8.8,Pass
94,74,1.5,Yes,39,0,5,82,Yes,Yes,6.4,Pass
95,94,2.5,Yes,94,5,8,84,Yes,Yes,8.5,Pass
96,90,5.7,No,78,2,9,64,Yes,Yes,5.6,Fail
97,78,3.5,Yes,84,1,5,92,Yes,Yes,4.6,Pass
98,64,2.8,No,48,1,10,81,Yes,Yes,6.4,Pass
99,94,3.1,Yes,87,5,9,75,Yes,Yes,4.6,Pass
100,50,3.3,Yes,90,3,10,66,Yes,Yes,6.4,Pass
101,74,6.9,Yes,45,0,8,77,Yes,Yes,8.6,Pass
102,56,2.0,Yes,43,1,10,99,Yes,Yes,6.6,Pass
103,58,6.0,Yes,68,5,4,46,Yes,Yes,7.1,Fail
104,73,4.9,No,46,5,6,44,Yes,Yes,4.8,Fail
105,50,3.1,Yes,69,2,5,82,Yes,Yes,4.2,Pass
106,93,3.9,Yes,69,3,6,84,Yes,Yes,4.6,Pass
107,57,2.8,Yes,35,0,10,97,Yes,Yes,7.0,Pass
108,73,5.3,No,74,4,8,96,Yes,Yes,4.5,Pass
109,60,1.6,Yes,56,2,5,90,Yes,Yes,5.9,Fail
110,100,1.0,Yes,94,1,10,70,Yes,Yes,6.8,Pass
111,66,5.4,Yes,63,1,9,62,No,No,5.9,Fail
112,57,2.4,Yes,42,2,7,81,Yes,Yes,4.8,Fail
113,84,1.5,Yes,45,5,10,49,Yes,Yes,5.4,Fail
114,84,3.8,Yes,75,1,6,71,Yes,No,8.6,Pass
115,82,1.4,Yes,71,3,5,82,Yes,No,7.4,Pass
116,54,7.2,Yes,48,0,6,92,Yes,Yes,6.5,Fail
117,91,1.2,Yes,94,3,5,69,Yes,Yes,4.1,Pass
118,88,5.1,No,64,1,10,78,Yes,Yes,9.0,Pass
119,90,4.1,Yes,69,4,4,70,Yes,Yes,7.4,Pass
120,77,5.7,Yes,55,0,9,57,Yes,Yes,5.6,Fail
121,56,3.3,Yes,71,0,10,75,Yes,Yes,8.4,Fail
122,58,2.1,Yes,39,2,6,41,Yes,Yes,5.3,Fail
123,57,7.9,Yes,53,2,7,53,Yes,Yes,6.7,Pass
124,61,6.9,Yes,93,4,7,52,Yes,No,7.2,Pass
125,83,7.0,Yes,48,5,8,68,Yes,Yes,5.1,Pass
126,82,2.8,Yes,60,0,5,51,Yes,Yes,8.9,Fail
127,97,1.3,Yes,38,4,6,78,No,Yes,7.7,Pass
128,72,3.1,No,59,2,8,41,Yes,Yes,6.8,Fail
129,73,4.8,Yes,79,2,6,71,Yes,Yes,4.9,Pass
130,86,3.3,Yes,76,0,5,52,Yes,Yes,4.3,Fail
131,84,6.8,Yes,59,3,10,85,Yes,Yes,5.6,Pass
132,93,2.9,Yes,52,1,10,66,Yes,Yes,7.8,Pass
133,89,7.8,Yes,74,2,7,88,Yes,Yes,5.3,Pass
134,71,4.2,Yes,42,5,10,80,Yes,Yes,6.7,Pass
135,76,6.9,No,73,5,10,56,Yes,Yes,7.6,Pass
136,84,2.4,Yes,74,2,4,79,Yes,Yes,4.5,Pass
137,50,3.9,No,48,3,7,70,Yes,No,7.4,Fail
138,84,5.9,No,66,3,8,73,Yes,Yes,4.5,Pass
139,86,2.0,Yes,85,4,9,99,Yes,Yes,8.8,Pass
140,96,1.9,Yes,95,5,4,63,Yes,Yes,6.4,Fail
141,63,7.8,Yes,72,4,8,84,Yes,Yes,4.8,Pass
142,52,6.0,Yes,67,5,5,74,Yes,No,5.7,Pass
143,50,1.3,Yes,57,1,4,87,Yes,Yes,6.1,Pass
144,54,3.8,Yes,49,1,8,45,Yes,No,7.8,Pass
145,75,4.0,Yes,67,0,5,58,Yes,Yes,7.7,Fail
146,63,6.2,No,59,4,7,69,Yes,Yes,7.1,Pass
147,88,2.8,No,51,2,9,46,Yes,Yes,4.5,Fail
148,76,2.3,Yes,67,4,5,49,Yes,No,4.8,Fail
149,58,1.6,No,81,2,10,80,Yes,Yes,4.5,Pass
150,64,4.0,Yes,89,3,6,71,Yes,Yes,6.9,Pass
151,64,5.8,Yes,36,4,5,73,Yes,No,8.4,Fail
152,75,1.4,Yes,48,3,5,67,Yes,Yes,6.2,Fail
153,91,7.4,Yes,87,1,9,99,Yes,Yes,4.8,Pass
154,62,4.1,Yes,74,1,6,54,Yes,Yes,6.8,Pass
155,100,2.7,Yes,74,0,10,69,Yes,No,8.1,Pass
156,81,1.7,Yes,85,4,8,76,Yes,Yes,7.7,Pass
157,88,2.3,No,73,3,8,68,Yes,Yes,8.4,Pass
158,98,7.5,Yes,85,2,5,61,Yes,No,5.4,Pass
159,81,5.5,Yes,40,1,6,43,Yes,Yes,5.0,Fail
160,53,4.6,Yes,40,1,6,59,Yes,Yes,8.4,Fail
161,79,5.6,Yes,37,2,10,71,Yes,Yes,7.3,Pass
162,86,4.0,Yes,41,3,9,75,Yes,Yes,5.6,Pass
163,72,6.1,No,85,3,7,89,Yes,No,7.7,Fail
164,88,1.3,Yes,42,4,8,43,Yes,No,8.1,Pass
165,94,5.0,Yes,76,4,9,66,Yes,Yes,7.1,Pass
166,64,2.1,Yes,86,5,4,56,Yes,Yes,7.4,Pass
167,92,1.8,Yes,49,5,8,51,No,Yes,5.9,Fail
168,78,3.4,Yes,81,0,9,61,Yes,Yes,6.7,Pass
169,85,1.6,Yes,63,1,8,56,Yes,Yes,6.6,Pass
170,62,1.7,Yes,67,4,7,49,Yes,Yes,8.2,Fail
171,81,3.2,Yes,86,3,4,93,Yes,Yes,8.2,Pass
172,56,7.9,Yes,64,2,7,40,Yes,Yes,8.2,Pass
173,100,2.2,Yes,73,3,10,61,Yes,Yes,4.1,Pass
174,71,1.1,Yes,61,1,4,65,Yes,Yes,7.7,Pass
175,77,6.3,Yes,70,5,5,95,Yes,Yes,7.8,Pass
176,51,6.6,Yes,63,3,9,98,Yes,No,7.4,Pass
177,91,3.4,Yes,72,0,4,57,Yes,Yes,7.8,Pass
178,94,4.3,Yes,91,1,10,89,Yes,No,8.2,Pass
179,55,5.5,Yes,67,5,10,53,Yes,No,6.4,Pass
180,77,1.3,No,95,2,7,86,Yes,Yes,6.5,Pass
181,77,7.6,Yes,71,5,8,68,No,No,4.6,Pass
182,93,7.2,No,61,0,4,51,Yes,Yes,5.9,Fail
183,93,2.8,Yes,89,1,9,75,Yes,Yes,7.2,Pass
184,69,1.1,Yes,67,2,4,98,Yes,Yes,7.9,Fail
185,79,7.5,No,38,0,6,74,Yes,Yes,5.1,Fail
186,60,4.5,Yes,56,5,8,91,Yes,Yes,4.7,Pass
187,77,4.8,Yes,36,0,9,100,Yes,Yes,7.3,Pass
188,74,5.8,Yes,44,1,9,51,Yes,Yes,4.0,Fail
189,88,5.3,Yes,39,4,5,46,Yes,Yes,4.9,Fail
190,82,7.6,Yes,93,0,7,68,Yes,Yes,4.1,Pass
191,50,7.6,Yes,44,0,5,50,Yes,Yes,4.8,Pass
192,76,7.1,No,67,5,9,72,Yes,Yes,4.9,Pass
193,62,5.5,Yes,88,5,8,45,Yes,Yes,5.9,Pass
194,90,6.6,Yes,72,2,4,86,Yes,No,6.0,Pass
195,52,5.7,Yes,47,5,4,54,Yes,Yes,8.4,Fail
196,88,5.0,Yes,65,3,8,71,Yes,Yes,6.6,Pass
197,55,1.9,Yes,81,1,9,90,No,Yes,7.6,Pass
198,57,6.7,Yes,70,1,10,50,Yes,Yes,4.5,Pass
199,76,6.7,Yes,79,4,4,97,Yes,No,5.1,Pass
200,58,5.4,Yes,58,4,10,62,Yes,Yes,7.5,Pass
201,86,6.7,Yes,86,1,4,65,Yes,No,4.3,Pass
202,82,5.6,Yes,90,4,4,73,Yes,Yes,6.4,Pass
203,100,2.4,No,49,2,7,85,Yes,Yes,7.0,Pass
204,91,2.9,Yes,63,5,7,73,Yes,Yes,7.0,Pass
205,93,2.5,Yes,42,1,6,68,Yes,Yes,4.1,Pass
206,73,3.6,No,39,4,5,43,No,Yes,5.6,Fail
207,64,1.3,Yes,63,1,8,56,Yes,No,7.2,Pass
208,81,5.3,No,81,3,8,74,Yes,No,4.7,Pass
209,81,3.4,Yes,38,0,8,52,Yes,Yes,7.5,Fail
210,73,5.6,Yes,46,5,6,80,Yes,No,7.7,Pass
211,90,3.7,Yes,79,1,7,78,Yes,No,8.9,Pass
212,98,5.8,Yes,36,0,9,54,Yes,Yes,5.0,Fail
213,98,3.4,Yes,61,4,10,94,No,Yes,8.1,Pass
214,61,2.8,Yes,65,0,10,68,Yes,Yes,6.6,Pass
215,88,4.5,Yes,85,5,9,68,Yes,Yes,5.9,Pass
216,51,5.9,Yes,85,1,6,50,No,Yes,4.6,Fail
217,52,3.4,No,70,3,9,91,Yes,Yes,7.7,Pass
218,98,7.6,Yes,70,4,8,71,Yes,No,5.2,Pass
219,86,1.3,Yes,60,1,5,41,Yes,Yes,5.9,Fail
220,98,3.9,No,77,5,4,86,Yes,Yes,4.3,Pass
221,66,7.8,Yes,61,4,10,53,Yes,No,8.0,Pass
222,98,4.8,Yes,39,2,7,59,Yes,No,7.8,Pass
223,51,4.0,Yes,54,0,7,61,Yes,Yes,7.7,Fail
224,51,5.0,Yes,45,5,6,50,Yes,No,5.5,Fail
225,77,5.0,Yes,44,2,7,66,No,Yes,4.9,Fail
226,72,6.1,Yes,74,1,8,42,Yes,Yes,7.2,Pass
227,86,1.9,No,72,3,10,56,No,Yes,6.5,Fail
228,81,2.8,Yes,40,4,9,83,Yes,Yes,4.9,Pass
229,82,5.1,Yes,42,0,8,95,Yes,Yes,7.4,Pass
230,50,7.1,Yes,57,4,6,67,Yes,Yes,9.0,Pass
231,68,4.9,Yes,81,1,8,68,Yes,Yes,7.7,Pass
232,51,2.7,Yes,60,4,9,60,Yes,Yes,7.7,Pass
233,93,5.8,Yes,80,0,5,86,Yes,Yes,8.8,Pass
234,75,6.2,Yes,77,1,6,55,Yes,No,5.0,Pass
235,81,2.7,Yes,46,4,5,76,Yes,Yes,6.8,Pass
236,55,3.6,Yes,60,3,4,98,No,Yes,8.9,Fail
237,81,4.7,Yes,47,5,5,59,Yes,Yes,4.8,Fail
238,53,4.5,Yes,74,1,4,45,Yes,Yes,7.5,Pass
239,60,3.7,Yes,52,5,4,58,Yes,Yes,6.9,Pass
240,66,3.1,Yes,59,1,5,96,Yes,No,6.9,Fail
241,87,1.7,Yes,67,3,6,44,Yes,Yes,7.5,Pass
242,73,1.4,Yes,81,5,9,42,Yes,Yes,8.6,Pass
243,54,7.7,No,74,2,8,98,No,Yes,7.9,Pass
244,83,6.9,Yes,94,0,8,40,Yes,Yes,4.3,Pass
245,55,3.5,Yes,77,2,9,97,No,Yes,8.3,Pass
246,71,7.7,Yes,46,4,10,99,Yes,Yes,5.1,Pass
247,60,5.7,Yes,78,3,10,77,Yes,Yes,5.9,Pass
248,97,4.4,No,70,2,4,54,Yes,Yes,6.3,Pass
249,65,4.5,Yes,82,1,4,73,Yes,Yes,6.4,Pass
250,82,1.6,Yes,38,4,6,100,Yes,Yes,6.2,Fail
